fn,class
1.jpg,Forest
2.jpg,River
3.jpg,Pasture
4.jpg,River
5.jpg,HerbaceousVegetation
6.jpg,AnnualCrop
7.jpg,Highway
8.jpg,SeaLake
9.jpg,SeaLake
10.jpg,Residential
11.jpg,AnnualCrop
12.jpg,Highway
13.jpg,SeaLake
14.jpg,River
15.jpg,AnnualCrop
16.jpg,HerbaceousVegetation
17.jpg,AnnualCrop
18.jpg,Residential
19.jpg,AnnualCrop
20.jpg,PermanentCrop
21.jpg,SeaLake
22.jpg,River
23.jpg,Industrial
24.jpg,Highway
25.jpg,Residential
26.jpg,Pasture
27.jpg,Industrial
28.jpg,Pasture
29.jpg,Industrial
30.jpg,Forest
31.jpg,Pasture
32.jpg,Industrial
33.jpg,Forest
34.jpg,River
35.jpg,Highway
36.jpg,Forest
37.jpg,AnnualCrop
38.jpg,AnnualCrop
39.jpg,Pasture
40.jpg,HerbaceousVegetation
41.jpg,Highway
42.jpg,River
43.jpg,SeaLake
44.jpg,HerbaceousVegetation
45.jpg,HerbaceousVegetation
46.jpg,SeaLake
47.jpg,Residential
48.jpg,River
49.jpg,HerbaceousVegetation
50.jpg,SeaLake
51.jpg,Industrial
52.jpg,Industrial
53.jpg,Highway
54.jpg,SeaLake
55.jpg,River
56.jpg,Residential
57.jpg,Forest
58.jpg,Forest
59.jpg,River
60.jpg,Residential
61.jpg,Forest
62.jpg,Residential
63.jpg,Pasture
64.jpg,River
65.jpg,River
66.jpg,AnnualCrop
67.jpg,Residential
68.jpg,Forest
69.jpg,PermanentCrop
70.jpg,PermanentCrop
71.jpg,Highway
72.jpg,Forest
73.jpg,Industrial
74.jpg,Forest
75.jpg,PermanentCrop
76.jpg,AnnualCrop
77.jpg,PermanentCrop
78.jpg,SeaLake
79.jpg,HerbaceousVegetation
80.jpg,AnnualCrop
81.jpg,AnnualCrop
82.jpg,SeaLake
83.jpg,PermanentCrop
84.jpg,SeaLake
85.jpg,Forest
86.jpg,HerbaceousVegetation
87.jpg,PermanentCrop
88.jpg,SeaLake
89.jpg,HerbaceousVegetation
90.jpg,Pasture
91.jpg,Residential
92.jpg,Pasture
93.jpg,Industrial
94.jpg,Forest
95.jpg,Forest
96.jpg,SeaLake
97.jpg,Highway
98.jpg,PermanentCrop
99.jpg,Highway
100.jpg,Pasture
101.jpg,PermanentCrop
102.jpg,PermanentCrop
103.jpg,Forest
104.jpg,AnnualCrop
105.jpg,Highway
106.jpg,Residential
107.jpg,SeaLake
108.jpg,Highway
109.jpg,River
110.jpg,Forest
111.jpg,HerbaceousVegetation
112.jpg,Forest
113.jpg,Highway
114.jpg,Industrial
115.jpg,Forest
116.jpg,Industrial
117.jpg,Forest
118.jpg,SeaLake
119.jpg,SeaLake
120.jpg,AnnualCrop
121.jpg,PermanentCrop
122.jpg,HerbaceousVegetation
123.jpg,AnnualCrop
124.jpg,Residential
125.jpg,Forest
126.jpg,River
127.jpg,Industrial
128.jpg,HerbaceousVegetation
129.jpg,AnnualCrop
130.jpg,River
131.jpg,Pasture
132.jpg,AnnualCrop
133.jpg,AnnualCrop
134.jpg,Pasture
135.jpg,PermanentCrop
136.jpg,Residential
137.jpg,Residential
138.jpg,AnnualCrop
139.jpg,Pasture
140.jpg,Residential
141.jpg,Forest
142.jpg,PermanentCrop
143.jpg,SeaLake
144.jpg,Pasture
145.jpg,AnnualCrop
146.jpg,SeaLake
147.jpg,Forest
148.jpg,Residential
149.jpg,SeaLake
150.jpg,Highway
151.jpg,Forest
152.jpg,AnnualCrop
153.jpg,Residential
154.jpg,Industrial
155.jpg,Industrial
156.jpg,SeaLake
157.jpg,River
158.jpg,Highway
159.jpg,Forest
160.jpg,AnnualCrop
161.jpg,Highway
162.jpg,HerbaceousVegetation
163.jpg,Highway
164.jpg,Residential
165.jpg,River
166.jpg,Highway
167.jpg,Highway
168.jpg,Pasture
169.jpg,Residential
170.jpg,HerbaceousVegetation
171.jpg,HerbaceousVegetation
172.jpg,SeaLake
173.jpg,Industrial
174.jpg,Industrial
175.jpg,SeaLake
176.jpg,Industrial
177.jpg,AnnualCrop
178.jpg,River
179.jpg,SeaLake
180.jpg,Forest
181.jpg,River
182.jpg,Forest
183.jpg,Residential
184.jpg,Highway
185.jpg,Highway
186.jpg,Pasture
187.jpg,HerbaceousVegetation
188.jpg,SeaLake
